customer_id,first_name,last_name,email,phone,age,country,updated_timestamp,state
CUST_000001,Jane,Johnson,jane.johnson1@example.com,1-555-5506,19,DE,2026-02-02T16:20:22.075Z,I
CUST_000002,Michael,Williams,michael.williams2@example.com,1-555-5507,61,UK,2026-02-02T16:20:22.075Z,I
CUST_000003,Sarah,Brown,invalid_email_3,1-555-5508,31,JP,2026-02-02T16:20:22.075Z,I
CUST_000003,Sarah,Brown,sarah.b@example.com,1-555-5508,31,JP,2026-02-05T16:20:22.075Z,U
CUST_000004,David,Jones,david.jones4@example.com,1-555-5509,63,IT,2026-02-02T16:20:22.075Z,I
CUST_000005,Emily,Garcia,emily.garcia5@example.com,1-555-5510,69,CA,2026-02-02T16:20:22.075Z,I
CUST_000006,James,Miller,james.miller6@example.com,1-555-5511,27,ES,2026-02-02T16:20:22.075Z,I
CUST_000007,Lisa,Davis,lisa.davis7@example.com,1-555-5512,40,BR,2026-02-02T16:20:22.075Z,I
CUST_000008,Robert,Rodriguez,robert.rodriguez8@example.com,1-555-5513,52,IT,2026-02-02T16:20:22.075Z,I
CUST_000009,Maria,Martinez,maria.martinez9@example.com,1-555-5514,57,BR,2026-02-02T16:20:22.075Z,I
CUST_000010,John,Smith,invalid_email_10,1-555-5515,67,UK,2026-02-02T16:20:22.075Z,I
CUST_000011,Jane,Johnson,jane.johnson11@example.com,1-555-5516,47,CA,2026-02-02T16:20:22.075Z,I
CUST_000012,Michael,Williams,michael.williams12@example.com,1-555-5517,35,BR,2026-02-02T16:20:22.075Z,I
CUST_000013,Sarah,Brown,sarah.brown13@example.com,1-555-5518,33,AU,2026-02-02T16:20:22.075Z,I
CUST_000014,David,Jones,david.jones14@example.com,1-555-5519,58,ES,2026-02-02T16:20:22.075Z,I
CUST_000015,Emily,Garcia,emily.garcia15@example.com,1-555-5520,69,IT,2026-02-02T16:20:22.075Z,I
CUST_000016,James,Miller,james.miller16@example.com,1-555-5521,78,DE,2026-02-02T16:20:22.075Z,I
CUST_000017,Lisa,Davis,lisa.davis17@example.com,1-555-5522,76,CA,2026-02-02T16:20:22.075Z,I
CUST_000018,Robert,Rodriguez,robert.rodriguez18@example.com,1-555-5523,53,FR,2026-02-02T16:20:22.075Z,I
CUST_000019,Maria,Martinez,maria.martinez19@example.com,1-555-5524,43,DE,2026-02-02T16:20:22.075Z,I
CUST_000020,John,Smith,invalid_email_20,1-555-5525,73,CA,2026-02-02T16:20:22.075Z,I
CUST_000021,Jane,Johnson,jane.johnson21@example.com,1-555-5526,45,IT,2026-02-02T16:20:22.075Z,I
CUST_000022,Michael,Williams,michael.williams22@example.com,1-555-5527,80,UK,2026-02-02T16:20:22.075Z,I
CUST_000023,Sarah,Brown,sarah.brown23@example.com,1-555-5528,39,FR,2026-02-02T16:20:22.075Z,I
CUST_000024,David,Jones,david.jones24@example.com,1-555-5529,79,JP,2026-02-02T16:20:22.075Z,I
CUST_000025,Emily,Garcia,emily.garcia25@example.com,1-555-5530,37,BR,2026-02-02T16:20:22.075Z,I
CUST_000026,James,Miller,james.miller26@example.com,1-555-5531,28,JP,2026-02-02T16:20:22.075Z,I
CUST_000027,Lisa,Davis,lisa.davis27@example.com,1-555-5532,25,FR,2026-02-02T16:20:22.075Z,I
CUST_000028,Robert,Rodriguez,robert.rodriguez28@example.com,1-555-5533,54,UK,2026-02-02T16:20:22.075Z,I
CUST_000029,Maria,Martinez,maria.martinez29@example.com,1-555-5534,52,CA,2026-02-02T16:20:22.075Z,I
CUST_000030,John,Smith,john.smith30@example.com,1-555-5535,28,JP,2026-02-02T16:20:22.075Z,I
CUST_000031,Jane,Johnson,jane.johnson31@example.com,1-555-5536,77,DE,2026-02-02T16:20:22.075Z,I
CUST_000032,Michael,Williams,michael.williams32@example.com,1-555-5537,59,AU,2026-02-02T16:20:22.075Z,I
CUST_000033,Sarah,Brown,invalid_email_33,1-555-5538,22,US,2026-02-02T16:20:22.075Z,I
CUST_000034,David,Jones,david.jones34@example.com,1-555-5539,18,US,2026-02-02T16:20:22.075Z,I
CUST_000035,Emily,Garcia,emily.garcia35@example.com,1-555-5540,73,UK,2026-02-02T16:20:22.075Z,I
CUST_000036,James,Miller,james.miller36@example.com,1-555-5541,49,JP,2026-02-02T16:20:22.075Z,I
CUST_000037,Lisa,Davis,lisa.davis37@example.com,1-555-5542,48,DE,2026-02-02T16:20:22.075Z,I
CUST_000038,Robert,Rodriguez,robert.rodriguez38@example.com,1-555-5543,40,IT,2026-02-02T16:20:22.075Z,I
CUST_000039,Maria,Martinez,maria.martinez39@example.com,1-555-5544,80,US,2026-02-02T16:20:22.075Z,I
CUST_000040,John,Smith,john.smith40@example.com,1-555-5545,24,DE,2026-02-02T16:20:22.075Z,I
CUST_000041,Jane,Johnson,invalid_email_41,1-555-5546,35,DE,2026-02-02T16:20:22.075Z,I
CUST_000042,Michael,Williams,michael.williams42@example.com,1-555-5547,72,US,2026-02-02T16:20:22.075Z,I
CUST_000043,Sarah,Brown,sarah.brown43@example.com,1-555-5548,77,CA,2026-02-02T16:20:22.075Z,I
CUST_000044,David,Jones,david.jones44@example.com,1-555-5549,73,US,2026-02-02T16:20:22.075Z,I
CUST_000045,Emily,Garcia,user45@example.com,1-555-5550,150,FR,2026-02-02T16:20:22.075Z,I
CUST_000045,Emily,Garcia,user45@example.com,1-555-5550,55,FR,2026-02-08T16:20:22.075Z,U
CUST_000046,James,Miller,james.miller46@example.com,1-555-5551,36,US,2026-02-02T16:20:22.075Z,I
CUST_000047,Lisa,Davis,lisa.davis47@example.com,1-555-5552,21,BR,2026-02-02T16:20:22.076Z,I
CUST_000048,Robert,Rodriguez,,1-555-5553,23,UK,2026-02-02T16:20:22.076Z,I
CUST_000048,Robert,Rodriguez,rob.rob@example.com,1-555-5553,23,UK,2026-02-08T16:20:22.076Z,U
CUST_000049,Maria,Martinez,maria.martinez49@example.com,1-555-5554,33,UK,2026-02-02T16:20:22.076Z,I
CUST_000050,John,Smith,john.smith50@example.com,1-555-5555,20,IT,2026-02-02T16:20:22.076Z,I
CUST_000051,Jane,Johnson,jane.johnson51@example.com,1-555-5556,31,DE,2026-02-02T16:20:22.076Z,I
CUST_000052,Michael,Williams,,1-555-5557,37,ES,2026-02-02T16:20:22.076Z,I
CUST_000053,Sarah,Brown,sarah.brown53@example.com,1-555-5558,54,UK,2026-02-02T16:20:22.076Z,I
CUST_000054,David,Jones,david.jones54@example.com,1-555-5559,26,UK,2026-02-02T16:20:22.076Z,I
CUST_000055,Emily,Garcia,emily.garcia55@example.com,1-555-5560,46,FR,2026-02-02T16:20:22.076Z,I
CUST_000056,James,Miller,james.miller56@example.com,1-555-5561,53,UK,2026-02-02T16:20:22.076Z,I
CUST_000057,Lisa,Davis,invalid_email_57,1-555-5562,65,FR,2026-02-02T16:20:22.076Z,I
CUST_000058,Robert,Rodriguez,robert.rodriguez58@example.com,1-555-5563,31,JP,2026-02-02T16:20:22.076Z,I
CUST_000059,Maria,Martinez,maria.martinez59@example.com,1-555-5564,72,UK,2026-02-02T16:20:22.076Z,I
CUST_000060,John,Smith,john.smith60@example.com,1-555-5565,20,ES,2026-02-02T16:20:22.076Z,I
CUST_000061,Jane,Johnson,jane.johnson61@example.com,1-555-5566,46,JP,2026-02-02T16:20:22.076Z,I
CUST_000062,Michael,Williams,,1-555-5567,75,JP,2026-02-02T16:20:22.076Z,I
CUST_000063,Sarah,Brown,sarah.brown63@example.com,1-555-5568,27,CA,2026-02-02T16:20:22.076Z,I
CUST_000064,David,Jones,david.jones64@example.com,1-555-5569,77,ES,2026-02-02T16:20:22.076Z,I
CUST_000065,Emily,Garcia,emily.garcia65@example.com,1-555-5570,40,BR,2026-02-02T16:20:22.076Z,I
CUST_000066,James,Miller,james.miller66@example.com,1-555-5571,80,IT,2026-02-02T16:20:22.076Z,I
CUST_000067,Lisa,Davis,lisa.davis67@example.com,1-555-5572,39,DE,2026-02-02T16:20:22.076Z,I
CUST_000068,Robert,Rodriguez,robert.rodriguez68@example.com,1-555-5573,24,US,2026-02-02T16:20:22.076Z,I
CUST_000069,Maria,Martinez,maria.martinez69@example.com,1-555-5574,76,ES,2026-02-02T16:20:22.076Z,I
CUST_000070,John,Smith,john.smith70@example.com,1-555-5575,60,IT,2026-02-02T16:20:22.076Z,I
CUST_000071,Jane,Johnson,jane.johnson71@example.com,1-555-5576,79,ES,2026-02-02T16:20:22.076Z,I
CUST_000072,Michael,Williams,michael.williams72@example.com,1-555-5577,71,ES,2026-02-02T16:20:22.076Z,I
CUST_000073,Sarah,Brown,sarah.brown73@example.com,1-555-5578,34,BR,2026-02-02T16:20:22.076Z,I
CUST_000074,David,Jones,user74@example.com,1-555-5579,150,IT,2026-02-02T16:20:22.076Z,I
CUST_000075,Emily,Garcia,emily.garcia75@example.com,1-555-5580,54,FR,2026-02-02T16:20:22.076Z,I
CUST_000076,James,Miller,,1-555-5581,61,ES,2026-02-02T16:20:22.076Z,I
CUST_000077,Lisa,Davis,lisa.davis77@example.com,1-555-5582,76,BR,2026-02-02T16:20:22.076Z,I
